""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Aug 03,2020"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short	,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts	,Total Short Contracts
Client,105523,102121,505128,152888,850412,634901,739899,763045,287414,98871,180620,140867,2482249,2079440
DII,13164,30159,23172,776805,267,38539,0,0,0,0,2264,0,75142,809228
FII,60556,57186,795915,452546,146315,222830,122596,131667,12417,15710,16254,10481,1253743,790730
Pro,31781,21558,129714,71690,205568,230138,340067,231696,58136,95103,158829,58336,750440,882176
TOTAL,211024,211024,1453929,1453929,1202562,1126408,1202562,1126408,357967,209684,357967,209684,4561574,4561574
