""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Aug 07,2020"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short	,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts	,Total Short Contracts
Client,108910,102021,543050,175613,535142,739889,548036,808755,368894,149440,236530,179404,2445325,2050359
DII,11635,37920,20399,769032,267,39104,0,0,0,0,4783,0,71405,811735
FII,64541,45978,797735,479146,148586,209418,97213,142121,16453,19176,21035,13019,1255909,798512
Pro,22905,22072,149724,87117,189007,234719,227753,272254,80805,112058,203804,88251,789218,901251
TOTAL,207991,207991,1510908,1510908,873002,1223130,873002,1223130,466152,280674,466152,280674,4561857,4561857
