""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Aug 04,2020"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short	,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts	,Total Short Contracts
Client,113061,103811,517579,169070,718637,827222,694901,875974,302636,112791,195313,149670,2591926,2188739
DII,12755,36293,21424,773184,267,40539,0,0,0,0,3191,0,74985,812668
FII,63283,40723,801253,455328,163787,213864,115777,137347,13630,16109,17585,10670,1271926,777430
Pro,22662,30934,133657,76331,224159,235491,296172,303795,63962,97093,164139,65653,777024,937024
TOTAL,211761,211761,1473913,1473913,1106850,1317116,1106850,1317116,380228,225993,380228,225993,4715861,4715861
