""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Aug 06,2020"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short	,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts	,Total Short Contracts
Client,106907,105788,528554,172674,409763,576267,429132,659506,340666,133677,219451,165901,2095834,1752452
DII,11635,36366,20298,769671,267,40539,0,0,0,0,4719,0,72739,810756
FII,60999,41748,805801,471736,139125,183071,81273,115508,16063,18202,20323,12212,1223261,742800
Pro,23529,19168,141777,82349,139521,174753,178271,199616,74379,105688,186615,79454,659647,745473
TOTAL,203070,203070,1496430,1496430,688676,974630,688676,974630,431108,257567,431108,257567,4051481,4051481
